propretyId,propretyBookingId,guestGender,guestBirthDate,adults,children,babies,doubleBeds,singleBeds,startDate,endDate,Location
8607114786,9377965942,Male,1956-11-02,3,2,0,1,4,2022-01-28,2022-05-30,IR
6465836157,3570660052,Male,1963-03-16,10,3,0,3,0,2022-02-20,2022-07-20,MX
9473898355,6672095292,Male,1997-04-23,0,3,0,3,0,2022-02-03,2022-07-25,JP
5242631651,5259301315,Female,1986-06-06,9,2,2,0,1,2022-01-29,2022-06-18,PH
3367158569,7925575212,Male,1967-06-15,2,1,3,2,1,2022-02-03,2022-05-01,DO
3343352748,2094807088,Female,1996-01-13,7,5,3,3,1,2022-01-23,2022-04-06,PT
7545806441,0529455498,Female,1958-08-29,7,5,4,2,3,2022-02-11,2022-08-12,RS
9345245561,9855088921,Male,1999-02-10,10,2,5,2,4,2022-01-20,2022-04-25,FR
0991685091,2295263611,Male,1950-09-22,7,3,3,3,0,2022-01-25,2022-07-05,PH
2125727307,5840944807,Female,1990-09-30,0,2,3,2,2,2022-02-24,2022-05-24,CM
0548384258,0526883820,Male,1963-06-24,5,5,2,1,1,2022-02-24,2022-07-09,KG
9667885569,2412906297,Female,1968-02-02,3,0,5,3,5,2022-02-19,2022-04-28,HN
0642938296,9656899660,Male,1962-06-20,4,3,0,0,5,2022-02-19,2022-04-16,ID
2101823594,2610524617,Male,1964-10-27,10,0,0,1,5,2022-02-02,2022-08-10,MP
4869382660,8991904084,Female,1973-05-05,10,2,0,2,0,2022-02-05,2022-05-17,PT
8648679737,7525972346,Male,1958-01-06,1,1,1,2,1,2022-01-22,2022-05-07,CN
1034055968,1049613120,Male,1958-03-01,4,5,3,2,5,2022-02-06,2022-06-23,ID
7448914049,5185548754,Female,1976-02-11,1,0,2,1,4,2022-02-12,2022-04-21,CN
4901351257,1050459717,Female,1963-01-09,7,0,4,2,4,2022-01-26,2022-06-11,PE
6524450957,9249572786,Female,1978-02-06,8,0,5,2,4,2022-02-07,2022-05-12,CN
8166340763,0889224943,Male,1989-07-20,7,4,5,0,5,2022-02-16,2022-05-08,CN
1022480049,9761701190,Male,1992-08-14,2,1,2,1,5,2022-01-31,2022-07-22,CN
3514587965,1753619882,Female,1991-11-10,6,5,3,0,4,2022-01-26,2022-08-03,CN
1378949862,9131767656,Male,1980-03-27,9,1,4,2,4,2022-01-28,2022-06-17,NG
4229138245,3207297595,Male,1951-08-31,10,5,3,0,4,2022-02-01,2022-04-12,FR
3644462518,3555637452,Male,1962-10-14,1,5,1,3,1,2022-02-13,2022-04-07,LY
8663541112,5048178831,Male,1983-12-28,2,2,0,1,4,2022-02-22,2022-07-03,MX
2079711237,2966143673,Female,1999-04-21,2,2,2,1,4,2022-02-07,2022-06-13,JM
6917011193,8708910170,Male,1962-07-29,5,1,5,1,0,2022-02-20,2022-06-10,CN
3870656425,3906357333,Female,1977-11-21,4,0,4,3,2,2022-02-21,2022-07-05,CN
2003205845,2885191759,Male,1978-04-30,1,3,5,3,2,2022-01-20,2022-07-08,ID
1582611521,2881681239,Female,1989-02-08,8,5,3,3,5,2022-02-08,2022-06-26,BG
4977874528,2515785867,Female,1967-06-05,7,3,0,2,3,2022-02-11,2022-05-24,RU
8886406649,0442173032,Female,1965-06-27,1,4,4,2,2,2022-02-07,2022-04-23,CN
7625880362,4028806291,Female,1971-04-29,7,1,5,3,3,2022-02-20,2022-08-07,SE
3127696116,4611989305,Male,1987-08-22,10,3,0,0,2,2022-01-20,2022-08-16,CN
7801619404,4436472280,Female,1951-11-16,4,3,4,2,2,2022-02-17,2022-07-14,NG
1305976088,5715596610,Female,1992-08-21,6,2,1,2,0,2022-02-24,2022-05-08,ID
0696401363,6375155665,Female,1953-07-18,1,3,4,1,3,2022-02-23,2022-07-01,CN
9930064222,4544847141,Male,1950-07-01,3,0,1,3,2,2022-01-28,2022-07-28,MX
2927967717,5363716976,Female,1970-04-26,8,1,3,3,5,2022-01-20,2022-08-18,CN
1479245739,6855287212,Male,1982-03-26,8,0,0,2,2,2022-02-23,2022-04-06,CN
4822536416,8241452233,Male,1974-09-20,5,5,3,3,3,2022-02-07,2022-05-25,ME
5955909842,2455430030,Male,1957-12-18,2,4,4,2,4,2022-02-04,2022-06-27,PT
8827531580,4128024767,Male,1953-07-17,3,2,1,1,5,2022-01-23,2022-04-04,PH
3104016186,3127108834,Male,1961-09-03,0,5,3,1,4,2022-02-22,2022-04-20,PT
2187315762,6733001144,Female,1968-07-25,10,0,1,3,1,2022-02-05,2022-04-28,AM
3127371101,0860461327,Male,1993-07-24,7,2,3,0,4,2022-02-10,2022-04-17,ZA
5479710206,7568290018,Male,1981-03-15,7,3,5,0,0,2022-01-23,2022-07-06,PH
0063634910,1475475357,Female,1998-07-31,1,4,3,1,1,2022-01-25,2022-04-09,AM
3243274869,2716652368,Male,1969-07-28,1,5,3,2,1,2022-02-18,2022-07-19,FR
0925873772,7276664317,Female,1964-12-21,0,0,4,3,1,2022-02-19,2022-05-30,PH
4855887234,1998576825,Female,1960-07-21,2,5,2,3,4,2022-02-15,2022-07-20,AL
1039184332,5200194660,Female,1971-10-09,6,1,3,1,5,2022-01-29,2022-04-04,ID
0771926723,9781520426,Male,1964-04-01,9,5,5,1,3,2022-02-21,2022-06-09,ID
9946285150,2540821936,Female,1982-10-31,3,3,1,1,3,2022-02-12,2022-04-21,VE
0759473641,0229891985,Female,1997-03-12,9,5,2,0,5,2022-02-04,2022-07-12,KR
4221810815,0269146466,Female,1975-12-15,9,5,3,3,1,2022-02-23,2022-04-21,PE
6942355631,6866999774,Male,1987-08-28,7,3,2,2,4,2022-02-08,2022-07-22,ID
8652565759,7224530999,Female,1979-09-22,8,0,2,0,0,2022-01-27,2022-06-03,TH
2405935120,8219942428,Female,1959-03-20,4,2,3,2,5,2022-01-30,2022-06-28,KZ
3646756225,3074932317,Female,1997-09-17,3,2,4,3,3,2022-02-06,2022-06-11,PE
6952657274,6147617877,Male,1976-07-15,9,0,0,2,3,2022-02-12,2022-08-11,UA
6440948539,7102374119,Female,1995-03-22,1,4,3,1,1,2022-02-21,2022-07-11,UA
6920754096,0900434627,Male,1980-08-05,5,5,2,2,2,2022-02-22,2022-06-08,ID
4945699100,0160642566,Female,1975-11-19,0,0,0,1,1,2022-01-22,2022-05-03,CO
3046864965,8341072521,Male,1961-11-24,0,3,0,3,1,2022-02-17,2022-04-21,PH
2131737238,2325833828,Male,1982-12-29,5,4,2,2,1,2022-02-11,2022-06-11,BR
0489811183,3382933551,Male,1985-12-11,5,3,0,0,3,2022-02-11,2022-06-17,CR
8867920138,7461328441,Male,1988-11-02,1,4,0,2,2,2022-01-20,2022-04-20,BD
4765804089,5777940471,Male,1975-09-11,7,1,0,2,4,2022-02-17,2022-08-17,CZ
6000574258,5719032487,Male,1968-06-02,4,0,4,1,1,2022-01-23,2022-05-16,EC
3575406421,5329117852,Male,1983-03-31,2,4,1,1,4,2022-01-27,2022-05-01,HR
6734597695,8272157500,Male,1953-02-28,8,2,4,2,4,2022-02-04,2022-04-15,CN
3239426609,1057285730,Male,1977-09-27,5,4,4,2,3,2022-02-19,2022-06-06,CN
3529402141,6459430837,Male,1951-02-22,8,1,4,2,0,2022-02-22,2022-05-16,YE
2027203656,6489709589,Male,1986-05-05,5,3,4,2,5,2022-02-17,2022-06-28,GT
6745540975,8604231846,Female,1994-03-28,3,2,5,2,2,2022-01-31,2022-08-08,RU
0144691930,5283076970,Male,1986-01-03,8,4,1,1,5,2022-01-30,2022-06-17,CL
4302944021,8554679881,Female,1997-06-18,3,2,2,0,0,2022-01-24,2022-05-13,ID
7850856007,6443014499,Female,1979-12-09,3,4,3,2,5,2022-02-05,2022-07-24,ID
8955680619,4662948215,Male,1959-08-03,8,0,2,3,3,2022-02-10,2022-06-23,CO
7756076958,8985662546,Female,1985-09-26,0,3,2,3,0,2022-02-12,2022-05-30,PT
1784319759,6170679271,Male,1975-04-10,10,4,0,0,5,2022-02-16,2022-04-22,US
