propretyId,propretyBookingId,guestGender,guestBirthDate,adults,children,babies,doubleBeds,singleBeds,startDate,endDate,Location
8179576213,1404244409,Male,1973-03-23,2,2,1,3,0,2022-02-14,2022-05-12,CA
1140462784,6544792381,Female,1991-12-18,7,2,3,3,4,2022-02-09,2022-05-02,PT
4389740695,7352368515,Male,1992-09-01,4,2,2,2,2,2022-02-19,2022-08-13,JP
9703930328,0406454043,Male,1989-04-04,4,1,3,1,1,2022-02-16,2022-06-02,JP
7244568932,7512240910,Male,1966-02-15,8,5,5,2,3,2022-02-23,2022-04-09,PH
1184719470,4891617837,Female,1973-02-23,1,2,0,0,2,2022-02-01,2022-05-02,PH
8923127868,5909050397,Male,1979-04-17,2,2,3,3,5,2022-02-09,2022-07-16,CN
5867520250,2059257344,Female,1989-09-26,4,2,3,3,1,2022-02-12,2022-06-30,ID
2446725406,1463739311,Female,1970-03-01,2,0,4,2,3,2022-01-29,2022-06-27,CN
8360374767,4134070236,Male,1972-04-25,8,1,2,1,4,2022-02-19,2022-07-23,PL
2952123748,8501946508,Female,1959-12-12,2,4,0,1,2,2022-02-12,2022-04-17,PS
8819474212,2174687216,Male,1960-07-20,2,2,4,2,2,2022-02-08,2022-06-07,PY
6743254924,7510298598,Female,1987-05-26,6,0,1,0,0,2022-02-19,2022-04-13,PH
5575775097,0599099240,Male,1994-12-07,4,1,4,2,0,2022-02-08,2022-07-25,SE
5763630114,9138103273,Male,1992-12-30,8,2,4,2,4,2022-02-03,2022-05-25,BR
7815107702,2588739490,Male,1998-06-18,1,3,2,0,4,2022-01-27,2022-05-15,GR
5606966921,4906802532,Female,1971-07-23,0,0,2,3,3,2022-02-19,2022-05-25,UA
1223051730,9935679225,Male,1952-04-07,4,3,4,0,3,2022-01-31,2022-05-03,CN
4762213101,8653136576,Female,1967-05-23,3,0,2,1,3,2022-02-07,2022-07-03,CO
3941510630,2300412268,Male,1981-08-11,5,2,0,3,3,2022-02-20,2022-08-13,TN
8322659229,4548910085,Male,1957-12-09,1,1,4,1,0,2022-02-06,2022-08-12,CN
4354005387,4414411912,Female,1955-12-03,0,0,1,0,2,2022-02-01,2022-05-01,CN
7343285157,1201271894,Male,1971-06-26,3,0,0,3,3,2022-02-13,2022-06-09,ID
9591048394,7759872615,Female,1959-04-29,8,4,0,2,3,2022-02-12,2022-06-21,BR
9490196495,2205895079,Female,1963-12-28,5,0,0,1,3,2022-01-25,2022-08-07,AR
3121428578,8616899146,Female,1960-11-11,7,3,4,1,1,2022-01-27,2022-07-24,AL
3315589607,6645373244,Male,1991-01-19,10,4,3,3,1,2022-02-20,2022-05-15,CN
6363313597,8527620294,Female,1951-03-16,4,2,4,0,5,2022-02-13,2022-08-01,JP
7479741235,4679343834,Male,1992-02-14,6,1,3,2,4,2022-02-05,2022-08-09,CN
9791858535,9906741678,Male,1998-02-07,1,2,3,3,4,2022-01-22,2022-06-07,UA
7587669973,7119170562,Male,1988-09-23,6,1,0,0,2,2022-02-24,2022-05-25,PE
1057855936,7890365284,Male,1975-05-10,9,2,2,3,5,2022-02-23,2022-06-12,MK
