_id,category,childFriendly,description,title
5cebbf129ce7720001f2d17d,shops,false,"Rencontre quotidienne avec nos chers boulangers, toujours souriant et gracieux! Le pain y est excellent et les pâtisseries aussi. Je vous recommande leur tradition prénommé 'la tordue'.",Maison Lecorvaisier
5cec02ef9ce7720001f2d241,pubAndRestaurants,false,"Ce restaurant typique français propose de bons plats français et de qualité. A proximité de mon appartement, c'est une vraie institution dans mon quartier",CHEZ PRADEL
5cec12a09ce7720001f2d270,pubAndRestaurants,false,Restaurant chaleureux ambiance conviviale plats succulents un très bon moment de partage accueil parfait plats traditionnels du nord,La petite cour
5d322b12eb45f900013aba9d,pubAndRestaurants,false,"Gastropub with loads of beer plus food
",KAISER TIGER
5ceba9a813d3ef00011b19e9,shops,false,"Ce magasin a vu le jour quelques semaines après mon aménagement dans ce quartier et je l'ai vu comme le signe que je m'y sentirais bien. Ouvert tous les jours, y compris le dimanche, il permet de trouver de tout: fruits et légumes bio, épicerie bio et produits cosmétiques ou d'entretien, toujours bio. Et les vendeurs sont toujours à la fois sympathiques et de bon conseil. C'est toujours cette adresse, à 10 mètres de chez moi, que j'indique en premier à mes locataires.",Belleville En Bio
5ceb9a6607b9eb0001fcac54,pubAndRestaurants,false,"Ce restaurant à la déco moderne et agréable permet de prendre un goûter ou un repas dans une ambiance feutrée et conviviale. Avec ces grandes vitres il fait l’angle sur deux rues passantes, rien de mieux pour se sentir à Paris ...",Big Corner
5cebc3b19ce7720001f2d19f,pubAndRestaurants,false,"Lui est français et s'occupe de la cuisine, elle est roumaine et gère la clientèle :-)
 Petit restau sans prétention, avec une très bonne cuisine et une clientèle très cosmopolite! J'ai tout de suite accroché avec eux! Les soirs de Game of Thrones on peut même commander une pizza avec l'effigie d'un des royaumes des sept couronnes :-)",Chez Gusto
5d27a6b6219fd40001a86ba1,pubAndRestaurants,false,sushi,SUSHI DOJO
5cebb405c04d820001c2759e,shops,false,"excellents fruits ou légumes frais bio, fromages, confitures, vin bio, du frais, du saisonnier, excellent !",Le Zingam
5cebf3649ce7720001f2d1cb,pubAndRestaurants,false,"J’y vais avec ma fille depuis sa naissance. Kid-friendly, pas besoin de réserver, spacieux, personnel attentionné et pro",Café Beaubourg
5cebf6089ce7720001f2d1da,shops,false,"Je recommande toujours à mes voyageurs de visiter le marché Saint Quentin, ouvert du mardi au dimanche toute la journée. Ils peuvent y découvrir des produits de tradition française pour cuisiner ou déguster.
 Le Fromager ""Au cœur du marché"" offre le choix le plus vaste de fromages, son conseil est aussi un atout pour les voyageurs ne connaissant pas notre culture du fromage.",Fromager du Marché Saint Quentin
5cec10129ce7720001f2d25c,shops,false,"Voici les meilleures épiceries de Lille, situées à Wazemmes, encore plus charmante dans le contexte des jours du marché ! A essayer, déguster, profiter de produits frais miam !","L'épicerie équitable Wazemmes"
5cec10919ce7720001f2d260,shops,false,"Produits simples et bons
Livré rapidement
Très bon rapport qualité / prix",Mistercuisine
5d30e23ceb45f900013aba6f,pubAndRestaurants,false,"Seasonal Japanese fare in refined space
",SHIBUMI
5ccffc142c1ae724585a6f32,health,false,,"pharmacie de l'aéroport"
5cebc3359ce7720001f2d19b,shops,false,"Un pain extra , des viennoiseries à tomber et des prix doux . Je recommande cette boulangerie",Boulangerie Liberté
5d323254eb45f900013abaae,pubAndRestaurants,false,"Sophisticated spot for Italian seafood
",NICO OSTERIA
5cebad82c04d820001c2756d,shops,false,"C'est un boulangerie artisanale qui propose d'excellent produits maison.
Une variété de pains, des baguettes à l'ancienne, d'excellentes viennoiseries, etc...
Un régal à chaque fois et on a plaisir à y revenir.","Les Pains d'Alexis"
5cebc2449ce7720001f2d193,pubAndRestaurants,false,"Toujours des bons plats italiens et de la bonne musique. C'est avec plaisir que je recommande ce restaurant à tous ceux qui visitent le quartier du sentier.",Pizzeria Popolare
